date,state,fips,cases,deaths,POPESTIMATE2019
2020-04-21,South Dakota,46,1755,8,884659
2020-04-22,South Dakota,46,1858,9,884659
2020-04-23,South Dakota,46,1956,9,884659
2020-04-24,South Dakota,46,2040,10,884659
2020-04-25,South Dakota,46,2147,10,884659
2020-04-26,South Dakota,46,2213,11,884659
2020-04-27,South Dakota,46,2246,11,884659
2020-04-28,South Dakota,46,2314,11,884659
2020-04-29,South Dakota,46,2375,13,884659
2020-04-30,South Dakota,46,2450,17,884659
2020-05-01,South Dakota,46,2525,21,884659
2020-05-02,South Dakota,46,2587,21,884659
2020-05-03,South Dakota,46,2630,21,884659
2020-05-04,South Dakota,46,2667,21,884659
2020-05-05,South Dakota,46,2720,24,884659
2020-05-06,South Dakota,46,2779,29,884659
2020-05-07,South Dakota,46,2905,31,884659
2020-05-08,South Dakota,46,3144,31,884659
2020-05-09,South Dakota,46,3393,34,884659
2020-05-10,South Dakota,46,3517,34,884659
2020-05-11,South Dakota,46,3614,34,884659
2020-05-12,South Dakota,46,3663,39,884659
2020-05-13,South Dakota,46,3732,39,884659
2020-05-14,South Dakota,46,3792,43,884659
2020-05-15,South Dakota,46,3887,44,884659
2020-05-16,South Dakota,46,3959,44,884659
2020-05-17,South Dakota,46,3987,44,884659
2020-05-18,South Dakota,46,4027,44,884659
2020-05-19,South Dakota,46,4085,46,884659
2020-05-20,South Dakota,46,4177,46,884659
2020-05-21,South Dakota,46,4177,47,884659
2020-05-22,South Dakota,46,4356,50,884659
2020-05-23,South Dakota,46,4468,50,884659
2020-05-24,South Dakota,46,4563,50,884659
2020-05-25,South Dakota,46,4586,50,884659
2020-05-26,South Dakota,46,4653,50,884659
2020-05-27,South Dakota,46,4710,54,884659
2020-05-28,South Dakota,46,4793,54,884659
2020-05-29,South Dakota,46,4866,59,884659
2020-05-30,South Dakota,46,4960,62,884659
2020-05-31,South Dakota,46,4993,62,884659
2020-06-01,South Dakota,46,5034,62,884659
2020-06-02,South Dakota,46,5067,62,884659
2020-06-03,South Dakota,46,5162,62,884659
2020-06-04,South Dakota,46,5247,64,884659
2020-06-05,South Dakota,46,5277,65,884659
2020-03-05,Tennessee,47,1,0,6829174
2020-03-06,Tennessee,47,1,0,6829174
2020-03-07,Tennessee,47,1,0,6829174
2020-03-08,Tennessee,47,3,0,6829174
2020-03-09,Tennessee,47,4,0,6829174
2020-03-10,Tennessee,47,7,0,6829174
2020-03-11,Tennessee,47,8,0,6829174
2020-03-12,Tennessee,47,18,0,6829174
2020-03-13,Tennessee,47,26,0,6829174
2020-03-14,Tennessee,47,32,0,6829174
2020-03-15,Tennessee,47,39,0,6829174
2020-03-16,Tennessee,47,52,0,6829174
2020-03-17,Tennessee,47,73,0,6829174
2020-03-18,Tennessee,47,98,0,6829174
2020-03-19,Tennessee,47,155,0,6829174
2020-03-20,Tennessee,47,237,0,6829174
2020-03-21,Tennessee,47,312,2,6829174
2020-03-22,Tennessee,47,424,2,6829174
2020-03-23,Tennessee,47,522,2,6829174
2020-03-24,Tennessee,47,678,2,6829174
2020-03-25,Tennessee,47,806,3,6829174
2020-03-26,Tennessee,47,981,3,6829174
2020-03-27,Tennessee,47,1180,6,6829174
2020-03-28,Tennessee,47,1363,6,6829174
2020-03-29,Tennessee,47,1569,7,6829174
2020-03-30,Tennessee,47,1721,13,6829174
2020-03-31,Tennessee,47,2049,13,6829174
2020-04-01,Tennessee,47,2689,23,6829174
2020-04-02,Tennessee,47,2868,32,6829174
2020-04-03,Tennessee,47,3032,36,6829174
2020-04-04,Tennessee,47,3265,47,6829174
2020-04-05,Tennessee,47,3538,50,6829174
2020-04-06,Tennessee,47,3753,65,6829174
2020-04-07,Tennessee,47,4010,72,6829174
2020-04-08,Tennessee,47,4246,83,6829174
2020-04-09,Tennessee,47,4456,95,6829174
2020-04-10,Tennessee,47,4793,104,6829174
2020-04-11,Tennessee,47,4983,107,6829174
2020-04-12,Tennessee,47,5144,107,6829174
2020-04-13,Tennessee,47,5483,114,6829174
2020-04-14,Tennessee,47,5654,123,6829174
2020-04-15,Tennessee,47,5864,135,6829174
2020-04-16,Tennessee,47,6077,142,6829174
2020-04-17,Tennessee,47,6423,146,6829174
2020-04-18,Tennessee,47,6624,148,6829174
2020-04-19,Tennessee,47,6824,151,6829174
2020-04-20,Tennessee,47,6994,156,6829174
2020-04-21,Tennessee,47,7317,159,6829174
2020-04-22,Tennessee,47,7681,169,6829174
2020-04-23,Tennessee,47,8169,172,6829174
2020-04-24,Tennessee,47,8618,172,6829174
2020-04-25,Tennessee,47,8918,179,6829174
2020-04-26,Tennessee,47,9435,182,6829174
2020-04-27,Tennessee,47,9739,184,6829174
2020-04-28,Tennessee,47,9974,190,6829174
2020-04-29,Tennessee,47,10255,196,6829174
2020-04-30,Tennessee,47,10506,200,6829174
2020-05-01,Tennessee,47,11781,205,6829174
2020-05-02,Tennessee,47,12376,210,6829174
2020-05-03,Tennessee,47,12871,211,6829174
2020-05-04,Tennessee,47,13283,216,6829174
2020-05-05,Tennessee,47,13555,225,6829174
2020-05-06,Tennessee,47,13737,237,6829174
2020-05-07,Tennessee,47,14108,238,6829174
2020-05-08,Tennessee,47,14276,240,6829174
2020-05-09,Tennessee,47,14675,241,6829174
2020-05-10,Tennessee,47,15060,242,6829174
2020-05-11,Tennessee,47,15423,248,6829174
2020-05-12,Tennessee,47,15777,264,6829174
2020-05-13,Tennessee,47,16261,271,6829174
2020-05-14,Tennessee,47,16588,284,6829174
2020-05-15,Tennessee,47,16917,288,6829174
2020-05-16,Tennessee,47,17204,292,6829174
2020-05-17,Tennessee,47,17391,293,6829174
2020-05-18,Tennessee,47,17767,296,6829174
2020-05-19,Tennessee,47,18301,301,6829174
2020-05-20,Tennessee,47,18534,309,6829174
2020-05-21,Tennessee,47,18970,313,6829174
2020-05-22,Tennessee,47,19364,315,6829174
2020-05-23,Tennessee,47,19765,325,6829174
2020-05-24,Tennessee,47,20116,332,6829174
2020-05-25,Tennessee,47,20533,334,6829174
2020-05-26,Tennessee,47,20960,339,6829174
2020-05-27,Tennessee,47,21360,353,6829174
2020-05-28,Tennessee,47,21763,352,6829174
2020-05-29,Tennessee,47,22199,356,6829174
2020-05-30,Tennessee,47,22676,360,6829174
2020-05-31,Tennessee,47,22832,360,6829174
2020-06-01,Tennessee,47,23242,361,6829174
2020-06-02,Tennessee,47,24498,378,6829174
2020-06-03,Tennessee,47,25024,386,6829174
2020-06-04,Tennessee,47,25374,401,6829174
2020-06-05,Tennessee,47,25799,405,6829174
2020-02-12,Texas,48,1,0,28995881
2020-02-13,Texas,48,2,0,28995881
2020-02-14,Texas,48,2,0,28995881
2020-02-15,Texas,48,2,0,28995881
2020-02-16,Texas,48,2,0,28995881
2020-02-17,Texas,48,2,0,28995881
2020-02-18,Texas,48,2,0,28995881
2020-02-19,Texas,48,2,0,28995881
2020-02-20,Texas,48,2,0,28995881
2020-02-21,Texas,48,4,0,28995881
2020-02-22,Texas,48,4,0,28995881
2020-02-23,Texas,48,4,0,28995881
2020-02-24,Texas,48,10,0,28995881
2020-02-25,Texas,48,10,0,28995881
2020-02-26,Texas,48,10,0,28995881
2020-02-27,Texas,48,10,0,28995881
2020-02-28,Texas,48,11,0,28995881
2020-02-29,Texas,48,11,0,28995881
2020-03-01,Texas,48,11,0,28995881
2020-03-02,Texas,48,11,0,28995881
2020-03-03,Texas,48,11,0,28995881
2020-03-04,Texas,48,12,0,28995881
2020-03-05,Texas,48,16,0,28995881
2020-03-06,Texas,48,19,0,28995881
2020-03-07,Texas,48,19,0,28995881
2020-03-08,Texas,48,23,0,28995881
2020-03-09,Texas,48,24,0,28995881
2020-03-10,Texas,48,31,0,28995881
2020-03-11,Texas,48,33,0,28995881
2020-03-12,Texas,48,41,0,28995881
2020-03-13,Texas,48,58,0,28995881
2020-03-14,Texas,48,69,0,28995881
2020-03-15,Texas,48,80,0,28995881
2020-03-16,Texas,48,87,1,28995881
2020-03-17,Texas,48,106,1,28995881
2020-03-18,Texas,48,166,2,28995881
2020-03-19,Texas,48,248,4,28995881
2020-03-20,Texas,48,377,5,28995881
2020-03-21,Texas,48,547,5,28995881
2020-03-22,Texas,48,632,7,28995881
2020-03-23,Texas,48,728,7,28995881
2020-03-24,Texas,48,857,11,28995881
2020-03-25,Texas,48,1119,12,28995881
2020-03-26,Texas,48,1542,21,28995881
2020-03-27,Texas,48,1940,23,28995881
2020-03-28,Texas,48,2158,29,28995881
2020-03-29,Texas,48,2709,35,28995881
2020-03-30,Texas,48,3036,46,28995881
2020-03-31,Texas,48,3570,57,28995881
2020-04-01,Texas,48,4255,63,28995881
2020-04-02,Texas,48,4880,79,28995881
2020-04-03,Texas,48,5669,97,28995881
2020-04-04,Texas,48,6566,124,28995881
2020-04-05,Texas,48,7091,136,28995881
2020-04-06,Texas,48,8104,159,28995881
2020-04-07,Texas,48,8968,177,28995881
2020-04-08,Texas,48,9897,195,28995881
2020-04-09,Texas,48,11372,228,28995881
2020-04-10,Texas,48,12290,246,28995881
2020-04-11,Texas,48,13208,265,28995881
2020-04-12,Texas,48,13776,288,28995881
2020-04-13,Texas,48,14487,320,28995881
2020-04-14,Texas,48,15303,365,28995881
2020-04-15,Texas,48,16106,395,28995881
2020-04-16,Texas,48,16928,428,28995881
2020-04-17,Texas,48,18131,461,28995881
2020-04-18,Texas,48,18927,487,28995881
2020-04-19,Texas,48,19441,503,28995881
